id,timestamp,rpm,motor_power,torque,outlet_pressure_bar,air_flow,noise_db,outlet_temp,wpump_outlet_press,water_inlet_temp,water_outlet_temp,wpump_power,water_flow,oilpump_power,oil_tank_temp,gaccx,gaccy,gaccz,haccx,haccy,haccz,bearings,wpump,radiator,exvalve,acmotor,kw_consumption,load_pct,compressor_size_kw,condition_label,failure_next_24h
1,2020-01-01T00:00:00,1482.33,70119.32,448.84,7.024,13590.83,73.03,82.14,3.409,27.41,36.8,3071.54,98.35,1430.4,72.11,0.5279,0.419,4.1613,1.2349,1.3148,6.1017,Ok,Ok,Clean,Clean,Stable,70.119,55.08,110,Normal,0
2,2020-01-01T00:01:54,1502.61,72606.39,466.122,7.2,13576.82,73.18,84.59,3.294,25.49,36.46,3104.56,95.22,1410.56,72.26,0.5443,0.3883,4.3021,1.0411,1.2134,6.3999,Ok,Ok,Clean,Clean,Stable,72.606,56.89,110,Normal,0
3,2020-01-01T00:03:47,1491.25,74644.68,473.436,6.999,14791.08,73.19,83.25,3.265,25.75,35.81,3052.55,100.41,1372.43,72.64,0.5117,0.3913,4.3799,1.1926,1.187,6.5471,Ok,Ok,Clean,Clean,Stable,74.645,59.22,110,Normal,0
4,2020-01-01T00:05:41,1483.78,73509.27,471.551,6.975,13969.45,71.42,84.16,3.253,26.03,37.69,3032.56,96.37,1441.59,73.22,0.4892,0.4339,4.1148,1.2203,1.1917,6.2911,Ok,Ok,Clean,Clean,Stable,73.509,57.5,110,Normal,0
5,2020-01-01T00:07:34,1494.31,49957.99,320.058,6.95,7978.84,70.58,77.0,3.067,26.13,34.45,3067.28,102.9,1322.4,66.8,0.3785,0.3424,3.2287,0.9346,0.9232,4.6671,Ok,Ok,Clean,Clean,Stable,49.958,30.0,110,Normal,0
6,2020-01-01T00:09:28,1486.63,76323.66,485.908,7.253,14134.4,72.86,79.88,3.315,26.53,35.72,3105.08,96.48,1352.44,73.48,0.555,0.4268,4.3289,1.2019,1.2836,6.3086,Ok,Ok,Clean,Clean,Stable,76.324,60.11,110,Normal,0
7,2020-01-01T00:11:21,1492.45,71926.85,461.014,7.1,14095.25,73.93,81.62,3.459,25.69,36.39,3191.05,98.38,1506.91,70.58,0.4213,0.4561,4.1483,1.0174,1.1442,6.0697,Ok,Ok,Clean,Clean,Stable,71.927,57.21,110,Normal,0
8,2020-01-01T00:13:15,1486.72,73466.64,473.404,7.187,14304.11,71.03,82.94,3.19,27.45,37.52,3054.94,97.88,1452.47,73.74,0.439,0.4129,4.1453,1.0973,1.0164,6.529,Ok,Ok,Clean,Clean,Stable,73.467,58.57,110,Normal,0
9,2020-01-01T00:15:09,1494.14,75122.05,485.893,7.188,14278.26,73.07,82.88,3.213,27.04,39.94,3132.06,94.32,1419.39,74.2,0.5095,0.3605,4.5503,1.118,1.0946,6.2087,Ok,Ok,Clean,Clean,Stable,75.122,58.76,110,Normal,0
10,2020-01-01T00:17:02,1494.35,77300.19,484.058,7.145,14601.88,74.69,87.86,3.676,26.67,39.48,3142.74,96.43,1404.75,74.01,0.4462,0.3798,4.5192,1.2422,1.2562,6.304,Ok,Ok,Clean,Clean,Stable,77.3,61.15,110,Normal,0
